,Sentence,sequences,length,Emotion
72,feel ovary aching talking like put,"['feel', 'ovary', 'aching', 'talking', 'like', 'put']",6,sadness
73,feel like much mostly took many picture unimportant stuff,"['feel', 'like', 'much', 'mostly', 'took', 'many', 'picture', 'unimportant', 'stuff']",9,sadness
74,tired book ready finding given unsuitable image feeling blamed result sit well,"['tired', 'book', 'ready', 'finding', 'given', 'unsuitable', 'image', 'feeling', 'blamed', 'result', 'sit', 'well']",12,sadness
78,feel,['feel'],1,anger
79,feel like miserable piece garbage,"['feel', 'like', 'miserable', 'piece', 'garbage']",5,sadness
80,feel like need make list would thought dont miss anything,"['feel', 'like', 'need', 'make', 'list', 'would', 'thought', 'dont', 'miss', 'anything']",10,anger
81,drove school feeling little bit rushed turned corner,"['drove', 'school', 'feeling', 'little', 'bit', 'rushed', 'turned', 'corner']",8,anger
82,remember feeling furious shooter,"['remember', 'feeling', 'furious', 'shooter']",4,anger
87,feel worthless time struggling finding work,"['feel', 'worthless', 'time', 'struggling', 'finding', 'work']",6,sadness
88,able lay bed dark feel least,"['able', 'lay', 'bed', 'dark', 'feel', 'least']",6,fear
90,feeling bitter today mood strange entire day guess,"['feeling', 'bitter', 'today', 'mood', 'strange', 'entire', 'day', 'guess']",8,anger
91,mum brother away involved car accident present form five exam flying colour,"['mum', 'brother', 'away', 'involved', 'car', 'accident', 'present', 'form', 'five', 'exam', 'flying', 'colour']",12,sadness
92,go animosity towards anyone feel wronged,"['go', 'animosity', 'towards', 'anyone', 'feel', 'wronged']",6,anger
94,feel like throwing away piece paper,"['feel', 'like', 'throwing', 'away', 'piece', 'paper']",6,sadness
97,hear owner feel association association attorney property manager,"['hear', 'owner', 'feel', 'association', 'association', 'attorney', 'property', 'manager']",8,sadness
98,say fam theyre sad cry feel like heartless bitch hey pretty excited flying first time know also spend year another country,"['say', 'fam', 'theyre', 'sad', 'cry', 'feel', 'like', 'heartless', 'bitch', 'hey', 'pretty', 'excited', 'flying', 'first', 'time', 'know', 'also', 'spend', 'year', 'another', 'country']",21,anger
103,mean really really hard work obtain high technical skill feel ashamed somehow saw performance whole heartedly despite tiredness,"['mean', 'really', 'really', 'hard', 'work', 'obtain', 'high', 'technical', 'skill', 'feel', 'ashamed', 'somehow', 'saw', 'performance', 'whole', 'heartedly', 'despite', 'tiredness']",18,sadness
108,alright class combination feeling unsuccessful man handled stress late horrible week almost cry finished grappling,"['alright', 'class', 'combination', 'feeling', 'unsuccessful', 'man', 'handled', 'stress', 'late', 'horrible', 'week', 'almost', 'cry', 'finished', 'grappling']",15,sadness
112,feel ugly wear ratty jean beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair,"['feel', 'ugly', 'wear', 'ratty', 'jean', 'beautiful', 'dress', 'though', 'might', 'still', 'wear', 'pair', 'heel', 'around', 'house', 'boost', 'self', 'esteem', 'ever', 'slightly', 'definitely', 'bother', 'buy', 'new', 'pair']",25,sadness
113,feeling homesick yet feeling alright,"['feeling', 'homesick', 'yet', 'feeling', 'alright']",5,sadness
116,feel eye touch word eye know assuredly return love know shall vain,"['feel', 'eye', 'touch', 'word', 'eye', 'know', 'assuredly', 'return', 'love', 'know', 'shall', 'vain']",12,sadness
119,begun feel apprehensive thick black rain cloud sky town,"['begun', 'feel', 'apprehensive', 'thick', 'black', 'rain', 'cloud', 'sky', 'town']",9,fear
120,stated reason feel fearful feel unsafe,"['stated', 'reason', 'feel', 'fearful', 'feel', 'unsafe']",6,fear
121,feel like getting shaken quite yet side creative lunch,"['feel', 'like', 'getting', 'shaken', 'quite', 'yet', 'side', 'creative', 'lunch']",9,fear
122,get group feel really awkward overcompensate talkative getting really quiet,"['get', 'group', 'feel', 'really', 'awkward', 'overcompensate', 'talkative', 'getting', 'really', 'quiet']",10,sadness
127,think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,"['think', 'poem', 'put', 'pressure', 'feel', 'uncomfortable', 'sense', 'feeling', 'feel', 'understanding', 'understand', 'loving', 'able', 'love']",14,fear
133,get pumpkin spice morning hot last thing hot coffee maybe feeling little bitter,"['get', 'pumpkin', 'spice', 'morning', 'hot', 'last', 'thing', 'hot', 'coffee', 'maybe', 'feeling', 'little', 'bitter']",13,anger
134,suppose feel badly bit skeptical pain last month exaggeration habit past though never openly,"['suppose', 'feel', 'badly', 'bit', 'skeptical', 'pain', 'last', 'month', 'exaggeration', 'habit', 'past', 'though', 'never', 'openly']",14,fear
136,also feel like selfish grateful life amazing thing,"['also', 'feel', 'like', 'selfish', 'grateful', 'life', 'amazing', 'thing']",8,anger
138,know perhaps girl office nice short hair perhaps feeling rebellious,"['know', 'perhaps', 'girl', 'office', 'nice', 'short', 'hair', 'perhaps', 'feeling', 'rebellious']",10,anger
139,feel miserable family type,"['feel', 'miserable', 'family', 'type']",4,sadness
141,still feel sleep almost sleeping night giving,"['still', 'feel', 'sleep', 'almost', 'sleeping', 'night', 'giving']",7,sadness
142,feel really violent right,"['feel', 'really', 'violent', 'right']",4,anger
145,feel need protect parent witch hunt repressed memory therapy,"['feel', 'need', 'protect', 'parent', 'witch', 'hunt', 'repressed', 'memory', 'therapy']",9,sadness
146,feel disgusted even associated woman race nationality,"['feel', 'disgusted', 'even', 'associated', 'woman', 'race', 'nationality']",7,anger
147,bitterly wasnt feeling bitter,"['bitterly', 'wasnt', 'feeling', 'bitter']",4,anger
148,know feeling thought wished could knew however much first experience would remember forever,"['know', 'feeling', 'thought', 'wished', 'could', 'knew', 'however', 'much', 'first', 'experience', 'would', 'remember', 'forever']",13,sadness
150,told maybe need time think feeling indecisive thing lately,"['told', 'maybe', 'need', 'time', 'think', 'feeling', 'indecisive', 'thing', 'lately']",9,fear
153,remember feeling really brazil bus going steep mountain hill side mountain middle big storm wondering going fall,"['remember', 'feeling', 'really', 'brazil', 'bus', 'going', 'steep', 'mountain', 'hill', 'side', 'mountain', 'middle', 'big', 'storm', 'wondering', 'going', 'fall']",17,fear
154,could feel whimper thought unloved,"['could', 'feel', 'whimper', 'thought', 'unloved']",5,sadness
158,say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,"['say', 'whatever', 'come', 'mind', 'tell', 'directly', 'feel', 'jealous', 'girl', 'insecure', 'love', 'person', 'trust', 'worthy', 'friend', 'sweet', 'one', 'love']",18,anger
159,feel strange coming back work one day holiday,"['feel', 'strange', 'coming', 'back', 'work', 'one', 'day', 'holiday']",8,fear
160,clearly dash happiness example use dash instead colon semi colon enhance feeling rushed enjambment sonnet,"['clearly', 'dash', 'happiness', 'example', 'use', 'dash', 'instead', 'colon', 'semi', 'colon', 'enhance', 'feeling', 'rushed', 'enjambment', 'sonnet']",15,anger
161,fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy little girl,"['fatter', 'thing', 'life', 'remain', 'control', 'whether', 'get', 'eat', 'peanut', 'butter', 'bread', 'get', 'home', 'impossible', 'day', 'first', 'world', 'looking', 'yet', 'third', 'world', 'feeling', 'hell', 'needy', 'little', 'girl']",26,sadness
162,could claim redeem genre leave feeling entirely point beating head wall either,"['could', 'claim', 'redeem', 'genre', 'leave', 'feeling', 'entirely', 'point', 'beating', 'head', 'wall', 'either']",12,anger
163,feel sad hopeless,"['feel', 'sad', 'hopeless']",3,sadness
164,getting feeling class little concept lit,"['getting', 'feeling', 'class', 'little', 'concept', 'lit']",6,fear
165,still feel groggy get routine son,"['still', 'feel', 'groggy', 'get', 'routine', 'son']",6,sadness
168,st year exam result fear might one failure,"['st', 'year', 'exam', 'result', 'fear', 'might', 'one', 'failure']",8,fear
170,know day feel distracted,"['know', 'day', 'feel', 'distracted']",4,anger
172,feeling distracted tend practice eye shut much possible,"['feeling', 'distracted', 'tend', 'practice', 'eye', 'shut', 'much', 'possible']",8,anger
174,specifically tango feeling shy quite opposite hard get far enough away get good pic,"['specifically', 'tango', 'feeling', 'shy', 'quite', 'opposite', 'hard', 'get', 'far', 'enough', 'away', 'get', 'good', 'pic']",14,fear
175,also feel weird sleeping bed two slept,"['also', 'feel', 'weird', 'sleeping', 'bed', 'two', 'slept']",7,fear
176,wish thinking today here thing restless made feel needy,"['wish', 'thinking', 'today', 'here', 'thing', 'restless', 'made', 'feel', 'needy']",9,sadness
179,fan current president conservative made feel unwelcome,"['fan', 'current', 'president', 'conservative', 'made', 'feel', 'unwelcome']",7,sadness
182,feel vulnerable alone,"['feel', 'vulnerable', 'alone']",3,fear
184,feel like always one getting stupid thing feel like,"['feel', 'like', 'always', 'one', 'getting', 'stupid', 'thing', 'feel', 'like']",9,sadness
188,think stupid feeling nervous,"['think', 'stupid', 'feeling', 'nervous']",4,fear
192,revise reply mind make sure reply sound appropriate enough person receive reply feel offended,"['revise', 'reply', 'mind', 'make', 'sure', 'reply', 'sound', 'appropriate', 'enough', 'person', 'receive', 'reply', 'feel', 'offended']",14,anger
193,felt sad friend mine felt something irrevocably gone away,"['felt', 'sad', 'friend', 'mine', 'felt', 'something', 'irrevocably', 'gone', 'away']",9,sadness
194,would feel regretful coming visit,"['would', 'feel', 'regretful', 'coming', 'visit']",5,sadness
196,sure lost feel like everyone hostile toward hate feeling,"['sure', 'lost', 'feel', 'like', 'everyone', 'hostile', 'toward', 'hate', 'feeling']",9,anger
197,feel like boring sewing make since easy nothing else say fabric usage,"['feel', 'like', 'boring', 'sewing', 'make', 'since', 'easy', 'nothing', 'else', 'say', 'fabric', 'usage']",12,sadness
202,feel uncomfortable guess,"['feel', 'uncomfortable', 'guess']",3,fear
204,wonder sometimes whether added antagonism misunderstanding many people towards feel reluctant wholeheartedly support traditional armistice day remembrance,"['wonder', 'sometimes', 'whether', 'added', 'antagonism', 'misunderstanding', 'many', 'people', 'towards', 'feel', 'reluctant', 'wholeheartedly', 'support', 'traditional', 'armistice', 'day', 'remembrance']",17,fear
205,leg would feel mile would come around like always,"['leg', 'would', 'feel', 'mile', 'would', 'come', 'around', 'like', 'always']",9,sadness
206,know unfair reaction run way explain feel shaken best come right,"['know', 'unfair', 'reaction', 'run', 'way', 'explain', 'feel', 'shaken', 'best', 'come', 'right']",11,fear
208,feel mostly tired nervous feeling danger,"['feel', 'mostly', 'tired', 'nervous', 'feeling', 'danger']",6,sadness
209,feeling pretty restless right,"['feeling', 'pretty', 'restless', 'right']",4,fear
211,admit hilarious card seriously exactly feel feel moment could start,"['admit', 'hilarious', 'card', 'seriously', 'exactly', 'feel', 'feel', 'moment', 'could', 'start']",10,sadness
212,wrote last year feeling dull inarticulate normal,"['wrote', 'last', 'year', 'feeling', 'dull', 'inarticulate', 'normal']",7,sadness
213,id kick gear feel irritable motivation ever,"['id', 'kick', 'gear', 'feel', 'irritable', 'motivation', 'ever']",7,anger
216,start feel resentful,"['start', 'feel', 'resentful']",3,anger
217,spend vacation obligation headache feeling like emotional three place,"['spend', 'vacation', 'obligation', 'headache', 'feeling', 'like', 'emotional', 'three', 'place']",9,sadness
219,feel like everyday life,"['feel', 'like', 'everyday', 'life']",4,anger
221,feeling word late,"['feeling', 'word', 'late']",3,sadness
222,feel like time upon retrospect think trying shake,"['feel', 'like', 'time', 'upon', 'retrospect', 'think', 'trying', 'shake']",8,anger
228,continue define discover home mean whenever feel pang blank sickness line missing cultural city life much different cultural,"['continue', 'define', 'discover', 'home', 'mean', 'whenever', 'feel', 'pang', 'blank', 'sickness', 'line', 'missing', 'cultural', 'city', 'life', 'much', 'different', 'cultural']",18,sadness
232,go see friend talking another one talking feel feel unloved,"['go', 'see', 'friend', 'talking', 'another', 'one', 'talking', 'feel', 'feel', 'unloved']",10,sadness
233,say anything ever come across feel offended please dont stop,"['say', 'anything', 'ever', 'come', 'across', 'feel', 'offended', 'please', 'dont', 'stop']",10,anger
236,feeling cranky,"['feeling', 'cranky']",2,anger
239,feel always,"['feel', 'always']",2,sadness
240,remember feeling another cramp also,"['remember', 'feeling', 'another', 'cramp', 'also']",5,sadness
242,also learned take lot effort positive thinking break tear feeling exhausted guilty better,"['also', 'learned', 'take', 'lot', 'effort', 'positive', 'thinking', 'break', 'tear', 'feeling', 'exhausted', 'guilty', 'better']",13,sadness
243,feeling awful hung friend new baby day,"['feeling', 'awful', 'hung', 'friend', 'new', 'baby', 'day']",7,sadness
245,feel suffering really feel pain,"['feel', 'suffering', 'really', 'feel', 'pain']",5,sadness
249,feel like edge precipice staring ahead,"['feel', 'like', 'edge', 'precipice', 'staring', 'ahead']",6,fear
250,feel totally listless exam come gone whole five month front free time,"['feel', 'totally', 'listless', 'exam', 'come', 'gone', 'whole', 'five', 'month', 'front', 'free', 'time']",12,sadness
251,feel furious right life advocate tell live die supporting politician view,"['feel', 'furious', 'right', 'life', 'advocate', 'tell', 'live', 'die', 'supporting', 'politician', 'view']",11,anger
252,feel way,"['feel', 'way']",2,sadness
253,still paying attention feel distracted,"['still', 'paying', 'attention', 'feel', 'distracted']",5,anger
257,feel gaining control good aspect personal security,"['feel', 'gaining', 'control', 'good', 'aspect', 'personal', 'security']",7,sadness
261,feel drag country head sand traditionalist hesitate call conservative fear real honest god conservative still think world year ago stuff like skeletal remains kind hoax,"['feel', 'drag', 'country', 'head', 'sand', 'traditionalist', 'hesitate', 'call', 'conservative', 'fear', 'real', 'honest', 'god', 'conservative', 'still', 'think', 'world', 'year', 'ago', 'stuff', 'like', 'skeletal', 'remains', 'kind', 'hoax']",25,sadness
263,blood proved reason feeling lethargic rubbish low iron iron tablet,"['blood', 'proved', 'reason', 'feeling', 'lethargic', 'rubbish', 'low', 'iron', 'iron', 'tablet']",10,sadness
264,mind feel like mind dangerous life,"['mind', 'feel', 'like', 'mind', 'dangerous', 'life']",6,anger
266,feel,['feel'],1,sadness
268,feel like lost main root feel secure emotionally financially socially,"['feel', 'like', 'lost', 'main', 'root', 'feel', 'secure', 'emotionally', 'financially', 'socially']",10,sadness
269,feel like bite bullet every time think feel fully decision,"['feel', 'like', 'bite', 'bullet', 'every', 'time', 'think', 'feel', 'fully', 'decision']",10,sadness
270,know obnoxiously immature sounding verbal tic voice kind nasal always come across like tool shed especially feeling awkward knowing knowing know,"['know', 'obnoxiously', 'immature', 'sounding', 'verbal', 'tic', 'voice', 'kind', 'nasal', 'always', 'come', 'across', 'like', 'tool', 'shed', 'especially', 'feeling', 'awkward', 'knowing', 'knowing', 'know']",21,sadness
271,id terrible nightmare feeling little disturbed,"['id', 'terrible', 'nightmare', 'feeling', 'little', 'disturbed']",6,sadness
272,didnt want walk case customer feel disturbed,"['didnt', 'want', 'walk', 'case', 'customer', 'feel', 'disturbed']",7,sadness
273,want sufferer able find hope battle help feel alone,"['want', 'sufferer', 'able', 'find', 'hope', 'battle', 'help', 'feel', 'alone']",9,sadness
274,feeling exceptionally reluctant go school tomorrow even though timetable pretty good,"['feeling', 'exceptionally', 'reluctant', 'go', 'school', 'tomorrow', 'even', 'though', 'timetable', 'pretty', 'good']",11,fear
276,looking forward beaten feeling like disappointment husband emotional pain,"['looking', 'forward', 'beaten', 'feeling', 'like', 'disappointment', 'husband', 'emotional', 'pain']",9,sadness
277,sick feeling,"['sick', 'feeling']",2,sadness
280,feel perverse pride self control stay ordered reach tempting human flesh close,"['feel', 'perverse', 'pride', 'self', 'control', 'stay', 'ordered', 'reach', 'tempting', 'human', 'flesh', 'close']",12,sadness
281,feel impatient easily blatant defiance prominent characteristic day,"['feel', 'impatient', 'easily', 'blatant', 'defiance', 'prominent', 'characteristic', 'day']",8,anger
282,positively giddy left morning last official class year feeling little sad,"['positively', 'giddy', 'left', 'morning', 'last', 'official', 'class', 'year', 'feeling', 'little', 'sad']",11,sadness
287,personality feel pain suffering,"['personality', 'feel', 'pain', 'suffering']",4,sadness
289,warming starting feeling little lethargic,"['warming', 'starting', 'feeling', 'little', 'lethargic']",5,sadness
293,feeling rather sentimental right say feel lucky,"['feeling', 'rather', 'sentimental', 'right', 'say', 'feel', 'lucky']",7,sadness
294,make show feel isolated crowd ill know wrong anti social feeling,"['make', 'show', 'feel', 'isolated', 'crowd', 'ill', 'know', 'wrong', 'anti', 'social', 'feeling']",11,sadness
295,learned turn emotion often find feeling completely blank mother cry continuously,"['learned', 'turn', 'emotion', 'often', 'find', 'feeling', 'completely', 'blank', 'mother', 'cry', 'continuously']",11,sadness
297,understand may feel youd rather bit vulnerable homeless precise way,"['understand', 'may', 'feel', 'youd', 'rather', 'bit', 'vulnerable', 'homeless', 'precise', 'way']",10,fear
298,finally stop feeling listless like waste space,"['finally', 'stop', 'feeling', 'listless', 'like', 'waste', 'space']",7,sadness
299,know feeling side effect high dose,"['know', 'feeling', 'side', 'effect', 'high', 'dose']",6,fear
302,fear thief,"['fear', 'thief']",2,fear
304,always spend money mean feel dissatisfied exit store,"['always', 'spend', 'money', 'mean', 'feel', 'dissatisfied', 'exit', 'store']",8,anger
305,feeling really quite angry,"['feeling', 'really', 'quite', 'angry']",4,anger
307,feel really ashamed,"['feel', 'really', 'ashamed']",3,sadness
310,starting feel bit stranger,"['starting', 'feel', 'bit', 'stranger']",4,anger
311,many day feel hopeless today light end yellow brick road shining little,"['many', 'day', 'feel', 'hopeless', 'today', 'light', 'end', 'yellow', 'brick', 'road', 'shining', 'little']",12,sadness
312,actually feel sorrowful,"['actually', 'feel', 'sorrowful']",3,sadness
313,see woman wearing boot feel envious want curse,"['see', 'woman', 'wearing', 'boot', 'feel', 'envious', 'want', 'curse']",8,anger
316,feel dull cold black unconsciousness came,"['feel', 'dull', 'cold', 'black', 'unconsciousness', 'came']",6,sadness
319,wonder cast told perfect part feel,"['wonder', 'cast', 'told', 'perfect', 'part', 'feel']",6,anger
321,feel empty baby,"['feel', 'empty', 'baby']",3,sadness
322,stopped feeling exhausted,"['stopped', 'feeling', 'exhausted']",3,sadness
325,always feel people especially always compare people ever since young,"['always', 'feel', 'people', 'especially', 'always', 'compare', 'people', 'ever', 'since', 'young']",10,fear
326,made feel rotten,"['made', 'feel', 'rotten']",3,sadness
327,feeling hostile hemorrhoid,"['feeling', 'hostile', 'hemorrhoid']",3,anger
337,didnt say strong feeling always make skeptical first,"['didnt', 'say', 'strong', 'feeling', 'always', 'make', 'skeptical', 'first']",8,fear
338,want talk limited time phone current feel hesitant bring,"['want', 'talk', 'limited', 'time', 'phone', 'current', 'feel', 'hesitant', 'bring']",9,fear
341,feel like end violent attack,"['feel', 'like', 'end', 'violent', 'attack']",5,anger
345,feel like edge microcosm one awkward moment party id outside,"['feel', 'like', 'edge', 'microcosm', 'one', 'awkward', 'moment', 'party', 'id', 'outside']",10,sadness
349,feel share,"['feel', 'share']",2,sadness
352,feel confused,"['feel', 'confused']",2,fear
354,feel selfish loneliness child know parent grieving lost baby,"['feel', 'selfish', 'loneliness', 'child', 'know', 'parent', 'grieving', 'lost', 'baby']",9,anger
356,feel envious embarrassed,"['feel', 'envious', 'embarrassed']",3,anger
357,could feel frantic need need make,"['could', 'feel', 'frantic', 'need', 'need', 'make']",6,fear
360,feel new music new lyric clearly nothing,"['feel', 'new', 'music', 'new', 'lyric', 'clearly', 'nothing']",7,anger
361,thought going talk try work thing find decided thing broke feeling unloved,"['thought', 'going', 'talk', 'try', 'work', 'thing', 'find', 'decided', 'thing', 'broke', 'feeling', 'unloved']",12,sadness
362,wouldnt witness incredibly well spoken bouncer making feel completely unwelcome,"['wouldnt', 'witness', 'incredibly', 'well', 'spoken', 'bouncer', 'making', 'feel', 'completely', 'unwelcome']",10,sadness
363,tend stop breathing feeling,"['tend', 'stop', 'breathing', 'feeling']",4,sadness
364,smoker year quit week ago right finished book cant believe free feel knew quit life without cigarette,"['smoker', 'year', 'quit', 'week', 'ago', 'right', 'finished', 'book', 'cant', 'believe', 'free', 'feel', 'knew', 'quit', 'life', 'without', 'cigarette']",17,fear
366,already feeling frantic,"['already', 'feeling', 'frantic']",3,fear
368,feel,['feel'],1,anger
369,crave fall submission feel submissive least,"['crave', 'fall', 'submission', 'feel', 'submissive', 'least']",6,sadness
371,feel even like someone wake moment edge falling deep slumber,"['feel', 'even', 'like', 'someone', 'wake', 'moment', 'edge', 'falling', 'deep', 'slumber']",10,anger
372,made work feeling little groggy,"['made', 'work', 'feeling', 'little', 'groggy']",5,sadness
376,starting feel unwelcome life people already tell,"['starting', 'feel', 'unwelcome', 'life', 'people', 'already', 'tell']",7,sadness
379,feel bitter general,"['feel', 'bitter', 'general']",3,anger
384,busy stuff never thread make feel miserable,"['busy', 'stuff', 'never', 'thread', 'make', 'feel', 'miserable']",7,sadness
388,close eye hear pitiful sound cry taste salty taste tear feel anger hurt heart,"['close', 'eye', 'hear', 'pitiful', 'sound', 'cry', 'taste', 'salty', 'taste', 'tear', 'feel', 'anger', 'hurt', 'heart']",14,sadness
390,sure folk handful swing state agree feel put upon constant barrage,"['sure', 'folk', 'handful', 'swing', 'state', 'agree', 'feel', 'put', 'upon', 'constant', 'barrage']",11,anger
398,feeling pretty worthless right,"['feeling', 'pretty', 'worthless', 'right']",4,sadness
400,continued think along line probably would done dish anger got wed fight feeling completely,"['continued', 'think', 'along', 'line', 'probably', 'would', 'done', 'dish', 'anger', 'got', 'wed', 'fight', 'feeling', 'completely']",14,sadness
401,didnt feel especially nervous finland landed little unsure would ahead thought st grade student,"['didnt', 'feel', 'especially', 'nervous', 'finland', 'landed', 'little', 'unsure', 'would', 'ahead', 'thought', 'st', 'grade', 'student']",14,fear
402,feel envious certain moment,"['feel', 'envious', 'certain', 'moment']",4,anger
403,feeling like pretty,"['feeling', 'like', 'pretty']",3,sadness
404,feeling feeling kind miserable life whole week,"['feeling', 'feeling', 'kind', 'miserable', 'life', 'whole', 'week']",7,anger
406,still feel vulnerable around,"['still', 'feel', 'vulnerable', 'around']",4,fear
409,left feeling quite embarrassed say nothing new,"['left', 'feeling', 'quite', 'embarrassed', 'say', 'nothing', 'new']",7,sadness
410,feel unwelcome place cant decide anything situation dead end situation afraid thing get worse,"['feel', 'unwelcome', 'place', 'cant', 'decide', 'anything', 'situation', 'dead', 'end', 'situation', 'afraid', 'thing', 'get', 'worse']",14,sadness
414,feel several one miss big havent seen since,"['feel', 'several', 'one', 'miss', 'big', 'havent', 'seen', 'since']",8,sadness
415,feel still really low abdomen,"['feel', 'still', 'really', 'low', 'abdomen']",5,sadness
417,feel doubtful,"['feel', 'doubtful']",2,fear
422,feel hesitant talking,"['feel', 'hesitant', 'talking']",3,fear
423,try get least minute day five day week though known skip workout feeling particularly lethargic lazy,"['try', 'get', 'least', 'minute', 'day', 'five', 'day', 'week', 'though', 'known', 'skip', 'workout', 'feeling', 'particularly', 'lethargic', 'lazy']",16,sadness
424,feeling beaten sick utterly devoid hope ever life want,"['feeling', 'beaten', 'sick', 'utterly', 'devoid', 'hope', 'ever', 'life', 'want']",9,sadness
